"Thousands","Total_Total","Total_Males","Total_Females","Chinese_Total","Chinese_Males","Chinese_Females","Malays_Total","Malays_Males","Malays_Females","Indians_Total","Indians_Males","Indians_Females","Others_Total","Others_Males","Others_Females"
"Total","2101.6","1124.2","977.4","1632.9","853.4","779.6","225","128.1","96.9","173.4","104.2","69.1","70.3","38.5","31.8"
"Below 30","163.4","52.4","111","132.6","42.2","90.4","15.5","5.9","9.6","10.1","2.7","7.3","5.2","1.5","3.8"
"30 - 34","58","23.7","34.3","47.9","19.6","28.3","5.2","2.3","2.9","3.5","1.2","2.2","1.3","0.4","0.9"
"35 - 39","97","48.1","48.9","76.1","37.1","39.1","9.5","5.1","4.4","8.4","4.4","4","2.9","1.5","1.4"
"40 - 44","864.4","430.9","433.6","670.8","326.4","344.4","95.4","51.1","44.3","68.5","37.8","30.7","29.7","15.6","14.1"
"45 - 49","374.6","207.1","167.6","283.7","155.1","128.6","46","25.4","20.6","32.2","19.4","12.7","12.8","7.1","5.6"
"50 - 54","235.4","144.3","91.1","188.1","113.2","74.8","20.1","12.6","7.5","19.2","13.3","5.9","8.1","5.2","2.9"
"55 - 59","74.5","48.8","25.7","58.2","36.6","21.6","7.1","5.2","1.9","6.2","4.9","1.3","3","2.2","0.8"
"60 - 64","132","89.7","42.3","100.7","66.5","34.2","14","10.1","3.9","12.8","10.2","2.5","4.6","2.9","1.7"
"65 & Over","102.4","79.3","23.1","74.8","56.7","18.1","12.2","10.3","1.9","12.6","10.1","2.5","2.8","2.1","0.6"
