"Dollar","Total","IncomeDecile11st10th2","IncomeDecile111th20th","IncomeDecile121st30th","IncomeDecile131st40th","IncomeDecile141st50th","IncomeDecile151st60th","IncomeDecile161st70th","IncomeDecile171st80th","IncomeDecile181st90th","IncomeDecile191st100th"
"TOTAL","4906.4","2416.4","2722.7","3512.2","3993.2","4419.6","5203.6","5656.4","5994.7","6979.2","8166.3"
"FOOD AND NON-ALCOHOLIC BEVERAGES","388.7","289.3","334.1","368.6","390.3","401.3","451.7","428.4","406.9","434.5","382.2"
"FOOD","361","267.6","312.5","342.6","364.7","375.9","422.5","398.7","378","401","346.8"
"Bread and Cereals","69.6","47.7","55.2","64.3","69.5","74.9","81.1","78.7","80.3","80.7","63.5"
"Meat","60.3","47.5","58.7","61.1","61.4","62.4","73.2","66.9","57.7","59.8","54.2"
"Fish and Seafood","57.3","44.4","55.2","58.3","59.7","61.8","65.2","59.8","55.6","61.8","51.1"
"Milk, Cheese and Eggs","42","29.6","38.6","37.4","44.3","46.2","52.8","46","43.8","43.6","38.1"
"Oils and Fats","7.7","7.1","7.3","8.5","8.9","7.7","9.1","8.2","6.7","6.8","7"
"Fruits","47.1","30.2","33.6","38.2","42.7","44.8","53.6","53.6","54.7","62.7","57.3"
"Vegetables","49.5","41.7","44.6","51","51.4","51.1","56.5","52.9","50.5","49.9","45.6"
"Sugar, Jam, Honey, Chocolate and Confectionery","13.3","8.7","8.5","11.1","12.7","13.7","14.3","15.6","14.8","17.2","16.5"
"Food Products n.e.c","14.2","10.9","10.8","12.8","14.1","13.3","16.8","17","14","18.4","13.6"
"NON-ALCOHOLIC BEVERAGES","21.8","18.5","17.7","20.2","22","22","23.9","24.8","21.5","26","21.2"
"Coffee, Tea and Cocoa","11.4","9.6","9.7","10.1","11.4","10.4","12.2","12.5","11.1","15","12.3"
"Mineral Water, Soft Drinks, Fruit and Vegetable Juices","10.4","8.9","8","10.1","10.6","11.6","11.7","12.4","10.4","10.9","9"
"FOOD AND NON-ALCOHOLIC BEVERAGES N.E.C","5.9","3.2","4","5.9","3.7","3.3","5.2","4.8","7.4","7.5","14.1"
"ALCOHOLIC BEVERAGES AND TOBACCO","42.4","31.3","41.8","53","48.5","50.9","52.7","40.1","39.4","36.1","29.9"
"ALCOHOLIC BEVERAGES","13.1","4.8","5.5","12","8.5","11.1","15.7","15.4","16.1","17.9","24.3"
"Spirits","2","0.9","1","1.1","0.4","2.8","3.5","2.3","2.6","2.7","2.4"
"Wine","5.3","1.8","1.7","2.3","2.9","3.6","5.5","5.3","5.6","7.8","16.6"
"Beer","5.9","2.2","2.8","8.7","5.2","4.8","6.7","7.7","7.9","7.4","5.3"
"TOBACCO","29.2","26.5","36.3","41","40","39.8","37","24.7","23.3","18.3","5.5"
"ALCOHOLIC BEVERAGES AND TOBACCO N.E.C","na","na","na","na","na","na","0.1","na","na","na","0.1"
"CLOTHING AND FOOTWEAR","122.9","42.1","48.3","88.6","99.7","116.4","119.4","150.2","162.2","178.9","222.9"
"CLOTHING","87","31.1","34.7","60.5","71.9","83.1","86","112.7","115","130.7","143.9"
"Clothing Materials","0.6","0.3","0.4","1.1","0.2","0.2","1","0.9","0.6","0.5","0.3"
"Garments","81.6","28.7","32.5","55.9","67.5","79.2","81.7","104.3","109.1","122.4","134.3"
"Other Clothing and Clothing Accessories","2.5","1.3","1.4","2.5","3.2","2.6","2.1","3.2","3.1","2.8","2.8"
"Cleaning, Repair and Hire of Clothing","2.3","0.8","0.4","1","1","1","1.2","4.2","2.2","5","6.5"
"FOOTWEAR","26","7.8","10.8","23.5","24.4","26","25.9","27.2","35.9","35.6","43.1"
"Shoes and Other Footwear","25.9","7.8","10.7","23.5","24.4","25.9","25.8","27","35.6","35.3","42.8"
"Repair and Hire of Footwear","0.1","0.1","na","na","na","na","0.1","0.2","0.3","0.2","0.3"
"CLOTHING AND FOOTWEAR N.E.C","9.9","3.1","2.8","4.5","3.4","7.4","7.5","10.3","11.3","12.7","35.8"
"HOUSING AND UTILITIES","425.9","264.3","242","284.7","332.3","342.7","381.7","476.8","496.2","559.3","878.6"
"Rentals for Housing","140.9","60","25.1","46.7","86.2","86.6","96","159.3","190.8","217.1","441.2"
"MAINTENANCE AND REPAIR OF DWELLING","23.1","10.8","14.3","15.7","18","16.5","20.2","40.7","20.7","32.6","41.4"
"Materials for Maintenance and Repair of Dwelling","1.5","1.8","1.3","1","1.6","1.1","1.9","1.2","1.6","1.8","1.1"
"Services for Maintenance and Repair of Dwelling","21.6","9","13","14.7","16.4","15.4","18.3","39.5","19.1","30.9","40.3"
"UTILITIES AND OTHER FUELS","261.9","193.5","202.7","222.3","228.2","239.6","265.5","276.7","284.7","309.6","395.9"
"Water Supply and Miscellaneous Services Related to Dwelling","151.9","108.5","108.9","114.5","121.6","133.7","143.5","158.4","171.3","193.7","265.2"
"Electricity, Gas and Other Fuels","109.9","85","93.8","107.7","106.6","105.9","122","118.3","113.4","115.9","130.8"
"FURNISHINGS, HOUSEHOLD EQUIPMENT AND ROUTINE HOUSEHOLD MAINTENANCE","282.3","160.6","166.7","208.4","212.3","234.8","291.2","332.4","302","397.2","517.4"
"FURNITURE AND FURNISHINGS, CARPETS AND OTHER FLOOR COVERINGS","46.5","11.6","18.8","26.2","27","37.4","48.7","48.1","57.9","85.7","103.3"
"Furniture and Furnishings","45.7","11.6","18.3","24.9","26.7","36.2","47.9","47.8","57.7","84.1","101.9"
"Carpets and Other Floor Coverings","0.3","na","na","0.1","0.2","1","0.3","na","na","0.7","0.2"
"Repair of Furniture, Furnishings and Floor Coverings","0.5","na","0.5","1.2","na","0.3","0.5","0.3","0.2","1","1.2"
"HOUSEHOLD TEXTILES","8.9","4.2","3.3","5.5","6.7","6.8","10.6","8.9","7.5","20.4","15.6"
"HOUSEHOLD APPLIANCES","45.5","16.2","21.8","30","31.3","35.6","54.2","57.7","47.9","70.3","90"
"Major Household Appliances","30.6","11.2","13.8","18.6","20.6","23.3","38.3","37.6","32.8","51.2","58"
"Small Electrical Household Appliances","10.4","4","5.7","9","9.1","7.4","10.4","14","9.3","15.3","19.7"
"Repair of Household Appliances","4.5","1","2.3","2.4","1.6","4.9","5.5","6","5.7","3.7","12.3"
"GLASSWARE, TABLEWARE AND HOUSEHOLD UTENSILS","10.1","4.5","5.4","6.4","8.3","12.4","12","10.1","11.1","13.9","16.8"
"TOOLS AND EQUIPMENT FOR HOUSE AND GARDEN","4.4","3","1.6","3.9","4.2","3.8","4.2","5","4.2","6.1","8.3"
"Major Tools and Equipment","na","na","na","na","na","na","na","na","na","na","0.1"
"Small Tools and Miscellaneous Accessories","4.4","3","1.6","3.9","4.2","3.8","4.1","5","4.2","6.1","8.2"
